Champion,StartDate,EndDate,Duration,NumOfMatches,Category,Won,Lost,TotalDurationFrom,TotalDurationTo
kashima,1997/11/22,1997/12/06 00:00:00,14,2,ＹＮＣ 決勝トーナメント,iwata,iwata,207,221
iwata,1997/12/06,1998/03/14 00:00:00,98,2,チャンピオンシップ,kashima,kashima,167,265
kashima,1998/03/14,1998/04/11 00:00:00,28,5,ゼロックススーパーカップ,iwata,kashiwa,221,249
kashiwa,1998/04/11,1998/04/18 00:00:00,7,2,Ｊ１ １ｓｔ,kashima,gosaka,144,151
gosaka,1998/04/18,1998/04/25 00:00:00,7,1,Ｊ１ １ｓｔ,kashiwa,kyoto,32,39
kyoto,1998/04/25,1998/04/29 00:00:00,4,1,Ｊ１ １ｓｔ,gosaka,yokohamaf,35,39
yokohamaf,1998/04/29,1998/05/16 00:00:00,17,4,Ｊ１ １ｓｔ,kyoto,gosaka,159,176
gosaka,1998/05/16,1998/05/30 00:00:00,14,2,ＹＮＣ 予選Ｃグループ,yokohamaf,kawasakif,39,53
kawasakif,1998/05/30,1998/06/03 00:00:00,4,1,ＹＮＣ 予選Ｃグループ,gosaka,yokohamaf,0,4
yokohamaf,1998/06/03,1998/06/06 00:00:00,3,1,ＹＮＣ 予選Ｃグループ,kawasakif,shimizu,176,179
shimizu,1998/06/06,1998/07/15 00:00:00,39,1,ＹＮＣ 予選Ｃグループ,yokohamaf,iwata,79,118
iwata,1998/07/15,1998/08/22 00:00:00,38,7,ＹＮＣ 決勝トーナメント,shimizu,yokohamafm,265,303
yokohamafm,1998/08/22,1998/09/19 00:00:00,28,5,Ｊ１ ２ｎｄ,iwata,cosaka,108,136
cosaka,1998/09/19,1998/10/14 00:00:00,25,4,Ｊ１ ２ｎｄ,yokohamafm,iwata,14,39
iwata,1998/10/14,1998/10/17 00:00:00,3,1,Ｊ１ ２ｎｄ,cosaka,hiroshima,303,306
hiroshima,1998/10/17,1998/10/24 00:00:00,7,2,Ｊ１ ２ｎｄ,iwata,kobe,35,42
kobe,1998/10/24,1998/11/03 00:00:00,10,2,Ｊ１ ２ｎｄ,hiroshima,sapporo,0,10
sapporo,1998/11/03,1998/11/14 00:00:00,11,2,Ｊ１ ２ｎｄ,kobe,yokohamaf,0,11
yokohamaf,1998/11/14,1999/01/01 00:00:00,48,1,Ｊ１ ２ｎｄ,sapporo,sapporo,179,227
sapporo,1999/02/27,1999/03/14 00:00:00,15,1,Ｊ１ １ｓｔ,yokohamaf,oita,11,26
oita,1999/03/14,1999/03/28 00:00:00,14,2,Ｊ２,sapporo,omiya,0,14
omiya,1999/03/28,1999/04/04 00:00:00,7,1,Ｊ２,oita,tosu,0,7
tosu,1999/04/04,1999/04/07 00:00:00,3,1,Ｊ２,omiya,cosaka,0,3
cosaka,1999/04/07,1999/04/10 00:00:00,3,1,ＹＮＣ,tosu,yokohamafm,39,42
